Escenario: palabras 7 digitos.

Palabra        Frecuencia     Probabilidad        Cant. informacion   
0111101        33             0.007333333333333   7.091315166745946   
0111110        35             0.007777777777778   7.006426269159433   
0111111        38             0.008444444444444   6.887781772660815   
1000000        32             0.007111111111111   7.135709286104399   
1000001        30             0.006666666666667   7.228818690495880   
1000010        34             0.007555555555556   7.048246444854060   
1000011        42             0.009333333333333   6.743391863325639   
1000100        39             0.008666666666667   6.850307067242152   
1000101        35             0.007777777777778   7.006426269159433   
1000110        39             0.008666666666667   6.850307067242152   
1000111        43             0.009555555555556   6.709444531402301   
1001000        30             0.006666666666667   7.228818690495880   
1001001        28             0.006222222222222   7.328354364046795   
1001010        32             0.007111111111111   7.135709286104399   
1001011        22             0.004888888888889   7.676277667467103   
1001100        27             0.006000000000000   7.380821783940932   
1001101        27             0.006000000000000   7.380821783940932   
1001110        37             0.008222222222222   6.926255920475450   
1001111        32             0.007111111111111   7.135709286104399   
1010000        42             0.009333333333333   6.743391863325639   
1010001        31             0.006888888888889   7.181512975717525   
1010010        37             0.008222222222222   6.926255920475450   
1010011        36             0.008000000000000   6.965784284662088   
1010100        34             0.007555555555556   7.048246444854060   
1010101        24             0.005333333333333   7.550746785383243   
1010110        33             0.007333333333333   7.091315166745946   
1010111        48             0.010666666666667   6.550746785383243   
1011000        32             0.007111111111111   7.135709286104399   
1011001        29             0.006444444444444   7.277728290976827   
1011010        39             0.008666666666667   6.850307067242152   
1011011        30             0.006666666666667   7.228818690495880   
1011100        31             0.006888888888889   7.181512975717525   
1011101        33             0.007333333333333   7.091315166745946   
1011110        36             0.008000000000000   6.965784284662088   
1011111        41             0.009111111111111   6.778157281486316   
1100000        41             0.009111111111111   6.778157281486316   
1100001        31             0.006888888888889   7.181512975717525   
1100010        34             0.007555555555556   7.048246444854060   
1100011        35             0.007777777777778   7.006426269159433   
1100100        43             0.009555555555556   6.709444531402301   
1100101        36             0.008000000000000   6.965784284662088   
1100110        22             0.004888888888889   7.676277667467103   
1100111        29             0.006444444444444   7.277728290976827   
1101000        39             0.008666666666667   6.850307067242152   
1101001        35             0.007777777777778   7.006426269159433   
1101010        34             0.007555555555556   7.048246444854060   
1101011        41             0.009111111111111   6.778157281486316   
1101100        35             0.007777777777778   7.006426269159433   
1101101        39             0.008666666666667   6.850307067242152   
1101110        34             0.007555555555556   7.048246444854060   
1101111        33             0.007333333333333   7.091315166745946   
1110000        44             0.009777777777778   6.676277667467103   
1110001        23             0.005111111111111   7.612147330047387   
1110010        31             0.006888888888889   7.181512975717525   
1110011        24             0.005333333333333   7.550746785383243   
1110100        37             0.008222222222222   6.926255920475450   
1110101        38             0.008444444444444   6.887781772660815   
1110110        23             0.005111111111111   7.612147330047387   
1110111        27             0.006000000000000   7.380821783940932   
1111000        38             0.008444444444444   6.887781772660815   
1111001        32             0.007111111111111   7.135709286104399   
1111010        39             0.008666666666667   6.850307067242152   
1111011        31             0.006888888888889   7.181512975717525   
1111100        38             0.008444444444444   6.887781772660815   
1111101        39             0.008666666666667   6.850307067242152   
1111110        41             0.009111111111111   6.778157281486316   
1111111        35             0.007777777777778   7.006426269159433   
-------------------------------------------------------------------
128            4500           1.0                                     

Entropia:
H(S) = 6.9790094546532 bits

Kraft:
k = 1.0

Longitud media:
L = 7.000000000000003

Rendimiento:
n = 99.70013506647425

Rendundancia:
n = 0.29986493352575394
