Palabra         Huffman        
011111110       0110010001     
011111111       011101001      
100000000       101010111      
100000001       110011111      
100000010       111110110      
100000011       111110000      
100000100       101001010      
100000101       110010011      
100000110       010111100      
100000111       00100011       
100001000       010111110      
100001001       110111111      
100001010       11001001010    
100001011       101001011      
100001100       011111000      
100001101       0110000111     
100001110       110000010      
100001111       010011100      
100010000       101000000      
100010001       11001001011    
100010010       101100000      
100010011       111001111      
100010100       010011000      
100010101       101100001      
100010110       010011001      
100010111       1011001000     
100011000       100000000      
100011001       100000001      
100011010       01110011       
100011011       011001101      
100011100       1011001001     
100011101       110001111      
100011110       110111100      
100011111       01100111       
100100000       110111101      
100100001       1010110100     
100100010       110000100      
100100011       00111011       
100100100       101000010      
100100101       011111010      
100100110       111101110      
100100111       011111011      
100101000       010001100      
100101001       111011010      
100101010       100110101      
100101011       1010110101     
100101100       110100111      
100101101       1111110011     
100101110       111010001      
100101111       0100111111     
100110000       0100101100     
100110001       100001111      
100110010       000001000      
100110011       1111101010     
100110100       1011001101     
100110101       1111101011     
100110110       010001010      
100110111       110010001      
100111000       00111001       
100111001       001000100      
100111010       101100101      
100111011       001000101      
100111100       100001001      
100111101       100011110      
100111110       100011111      
100111111       100001010      
101000000       111100101      
101000001       10111111100    
101000010       101011101      
101000011       1011100110     
101000100       11000000       
101000101       101100111      
101000110       110111010      
101000111       00011110       
101001000       00001111       
101001001       010010100      
101001010       110100110      
101001011       110101011      
101001100       101110100      
101001101       000101010      
101001110       111101111      
101001111       000001111      
101010000       111000111      
101010001       100110111      
101010010       10010111       
101010011       1011101011     
101010100       110101001      
101010101       101110010      
101010110       1011011110     
101010111       100111110      
101011000       000011010      
101011001       100111111      
101011010       100111000      
101011011       000011011      
101011100       01010110       
101011101       110100101      
101011110       10111111101    
101011111       111000100      
101100000       111000101      
101100001       100001101      
101100010       0110000000     
101100011       010010111      
101100100       010000010      
101100101       1011011011     
101100110       101000100      
101100111       101000101      
101101000       01011010       
101101001       1011101110     
101101010       0110000001     
101101011       110101110      
101101100       011011010      
101101101       111101100      
101101110       0101100000     
101101111       010000101      
101110000       0101100001     
101110001       101100010      
101110010       000000011      
101110011       011001010      
101110100       000011001      
101110101       110000110      
101110110       011001011      
101110111       111101000      
101111000       1010110001     
101111001       000101001      
101111010       100000101      
101111011       011111110      
101111100       00011000       
101111101       011100000      
101111110       00100001       
101111111       110111011      
110000000       011111111      
110000001       00010010       
110000010       00111110       
110000011       011111100      
110000100       0101001100     
110000101       01010100       
110000110       010010010      
110000111       00010001       
110001000       111011101      
110001001       100100110      
110001010       010010011      
110001011       1011010000     
110001100       00001000       
110001101       101111010      
110001110       010111011      
110001111       0101001101     
110010000       011110100      
110010001       111010000      
110010010       110011000      
110010011       000000100      
110010100       000000101      
110010101       00110011       
110010110       110110101      
110010111       011000100      
110011000       100110010      
110011001       001000000      
110011010       100110011      
110011011       110001100      
110011100       01101111       
110011101       111011111      
110011110       1010100101     
110011111       110011011      
110100000       01101100       
110100001       1101101000     
110100010       000101110      
110100011       101011111      
110100100       101111100      
110100101       0110010010     
110100110       010110001      
110100111       010010001      
110101000       0100001110     
110101001       100011010      
110101010       101011001      
110101011       001001010      
110101100       110001011      
110101101       100110000      
110101110       001001011      
110101111       00101001       
110110000       111001000      
110110001       100110001      
110110010       1101100100     
110110011       1101100101     
110110100       111101001      
110110101       010100111      
110110110       111101101      
110110111       110111110      
110111000       101010011      
110111001       11000110111    
110111010       010100101      
110111011       0110101010     
110111100       100111010      
110111101       100011101      
110111110       111000000      
110111111       0110101100     
111000000       01101000       
111000001       01110010       
111000010       010111001      
111000011       111001101      
111000100       101110000      
111000101       000010101      
111000110       1100101001     
111000111       1100010100     
111001000       1100010101     
111001001       101010110      
111001010       110111001      
111001011       011100010      
111001100       011100011      
111001101       110100000111   
111001110       101111001      
111001111       011010011      
111010000       00111111       
111010001       01000000010    
111010010       1111111110     
111010011       100100101      
111010100       100100100      
111010101       101001000      
111010110       010110111      
111010111       010100000      
111011000       1111111111     
111011001       110011001      
111011010       111010110      
111011011       00111010       
111011100       100001100      
111011101       1111111101     
111011110       1011110000     
111011111       110100010      
111100000       101111110      
111100001       001001001      
111100010       0110101111     
111100011       111001011      
111100100       100001000      
111100101       111011001      
111100110       110000011      
111100111       010110011      
111101000       01110111       
111101001       1101101100     
111101010       000100110      
111101011       000100111      
111101100       100101100      
111101101       010100100      
111101110       11010001101    
111101111       1101000000     
111110000       1101101101     
111110001       1111101111     
111110010       010000110      
111110011       111001010      
111110100       011000001      
111110101       101000001      
111110110       11010000010    
111110111       110010110      
111111000       110110001      
111111001       100111100      
111111010       01100011       
111111011       00101011       
111111100       010111111      
111111101       0100000000     
111111110       011100001      
111111111       00110100       

Entropia:
H(S) = 8.895015764498266 bits

Kraft:
k = 1.0

Longitud media:
L = 8.92542857142857

Rendimiento:
n = 99.65925662071109

Rendundancia:
n = 0.3407433792889094
